id_municipio,municipio_nome,id_ar,id_gaema,id_rp,id_pjreg,id_gaeco,id_gaeco_mun
3527207,Lorena,15,1,,3,14,14
3527256,Lourdes,1,,10,19,0,2
3527306,Louveira,3,9,,9,4,4
3527405,Lucélia,10,,11,20,9,9
3527504,Lucianópolis,2,7,,7,0,3
3527603,Luís Antônio,11,5,,1,0,10
3527702,Luiziânia,1,,10,19,0,2
3527801,Lupércio,2,,11,20,0,3
3527900,Lutécia,10,7,,7,0,9
3528007,Macatuba,2,,5,14,3,3
3528106,Macaubal,13,,10,19,12,12
3528205,Macedônia,13,,7,16,0,12
3528304,Magda,13,,9,18,0,12
3528403,Mairinque,14,12,,11,13,13
3528502,Mairiporã,8,8,,8,7,7
3528601,Manduri,2,,6,15,0,3
3528700,Marabá Paulista,10,6,,6,0,9
3528809,Maracaí,10,7,,7,9,9
3528858,Marapoama,13,,8,17,0,12
3528908,Mariápolis,10,,11,20,0,9
3529005,Marília,2,,11,20,3,3
3529104,Marinópolis,13,,9,18,0,12
3529203,Martinópolis,10,6,,6,9,9
3529302,Matão,11,,8,17,10,10
3529401,Mauá,6,,12,21,1,1
3529500,Mendonça,13,,10,19,0,12
3529609,Meridiano,13,,7,16,0,12
3529658,Mesópolis,13,,9,18,0,12
3529708,Miguelópolis,5,,2,12,6,6
3529807,Mineiros do Tietê,2,,5,14,0,3
3529906,Miracatu,16,2,,2,11,11
3530003,Mira Estrela,13,,7,16,0,12
3530102,Mirandópolis,1,,10,19,2,2
3530201,Mirante do Paranapanema,10,6,,6,9,9
3530300,Mirassol,13,,7,16,12,12
3530409,Mirassolândia,13,,7,16,0,12
3530508,Mococa,11,5,,1,10,10
3530607,Moji das Cruzes,8,8,,8,7,7
3530706,Mogi Guaçu,3,,15,23,4,4
3530805,Moji-Mirim,3,,15,23,4,4
3530904,Mombuca,9,11,,10,0,8
3531001,Monções,13,,9,18,0,12
3531100,Mongaguá,12,3,,4,11,11
3531209,Monte Alegre do Sul,3,10,,9,0,4
3531308,Monte Alto,11,,7,16,10,10
3531407,Monte Aprazível,13,,9,18,12,12
3531506,Monte Azul Paulista,13,,7,16,12,12
3531605,Monte Castelo,10,,11,20,0,9
3531704,Monteiro Lobato,15,1,,3,0,14
3531803,Monte Mor,3,9,,9,4,4
3531902,Morro Agudo,5,,4,13,6,6
3532009,Morungaba,3,9,,9,0,4
3532058,Motuca,11,,16,24,0,10
3532108,Murutinga do Sul,1,,10,19,0,2
3532157,Nantes,10,6,,6,0,9
3532207,Narandiba,10,6,,6,0,9
3532306,Natividade da Serra,15,1,,3,0,14
3532405,Nazaré Paulista,3,10,,9,4,4
3532504,Neves Paulista,13,,9,18,12,12
3532603,Nhandeara,13,,9,18,12,12
3532702,Nipoã,13,,9,18,0,12
3532801,Nova Aliança,13,,8,17,0,12
3532827,Nova Campina,14,,6,15,0,13
3532843,Nova Canaã Paulista,13,,9,18,0,12
3532868,Nova Castilho,13,,9,18,0,12
3532900,Nova Europa,11,,16,24,0,10
3533007,Nova Granada,13,,7,16,12,12
3533106,Nova Guataporanga,10,,11,20,0,9
3533205,Nova Independência,1,,10,19,0,2
3533254,Novais,13,,7,16,0,12
3533304,Nova Luzitânia,13,,9,18,0,12
3533403,Nova Odessa,3,9,,9,4,4
3533502,Novo Horizonte,13,,8,17,12,12
3533601,Nuporanga,5,,2,12,6,6
3533700,Ocauçu,2,,11,20,0,3
3533809,Óleo,2,,6,15,0,3
3533908,Olímpia,13,,7,16,12,12
3534005,Onda Verde,13,,7,16,0,12
3534104,Oriente,2,,11,20,0,3
3534203,Orindiúva,13,,7,16,0,12
3534302,Orlândia,5,,4,13,6,6
3534401,Osasco,7,,13,22,5,5
3534500,Oscar Bressane,10,7,,7,0,9
3534609,Osvaldo Cruz,10,,11,20,9,9
3534708,Ourinhos,2,7,,7,3,3
3534757,Ouroeste,13,,7,16,12,12
3534807,Ouro Verde,10,,11,20,0,9
3534906,Pacaembu,10,,11,20,9,9
3535002,Palestina,13,,7,16,12,12
3535101,Palmares Paulista,13,,7,16,0,12
3535200,'Palmeira d''Oeste',13,,9,18,12,12
3535309,Palmital,2,7,,7,3,3
3535408,Panorama,10,,11,20,9,9
3535507,Paraguaçu Paulista,10,7,,7,9,9
3535606,Paraibuna,15,1,,3,14,14
3535705,Paraíso,13,,7,16,0,12
3535804,Paranapanema,2,,6,15,3,3
3535903,Paranapuã,13,,9,18,0,12
3536000,Parapuã,10,,11,20,0,9
3536109,Pardinho,2,12,,11,0,3
3536208,Pariquera-Açu,16,2,,2,11,11
3536257,Parisi,13,,7,16,0,12
3536307,Patrocínio Paulista,5,,2,12,6,6
3536406,Paulicéia,10,,11,20,0,9
3536505,Paulínia,3,9,,9,4,4
3536570,Paulistânia,2,7,,7,0,3
3536604,Paulo de Faria,13,,7,16,12,12
3536703,Pederneiras,2,,5,14,3,3
3536802,Pedra Bela,3,10,,9,0,4
3536901,Pedranópolis,13,,7,16,0,12
3537008,Pedregulho,5,,2,12,6,6
3537107,Pedreira,3,9,,9,4,4
3537156,Pedrinhas Paulista,10,7,,7,0,9
3537206,Pedro de Toledo,16,2,,2,11,11
3537305,Penápolis,1,,10,19,2,2
3537404,Pereira Barreto,1,,10,19,2,2
3537503,Pereiras,9,12,,11,0,8
3537602,Peruíbe,12,3,,4,11,11
3537701,Piacatu,1,,10,19,0,2
3537800,Piedade,14,12,,11,13,13
3537909,Pilar do Sul,14,,6,15,13,13
3538006,Pindamonhangaba,15,1,,3,14,14
3538105,Pindorama,13,,7,16,0,12
3538204,Pinhalzinho,3,10,,9,4,4
3538303,Piquerobi,10,6,,6,0,9
3538501,Piquete,15,1,,3,14,14
3538600,Piracaia,3,10,,9,4,4
3538709,Piracicaba,9,11,,10,8,8
3538808,Piraju,2,,6,15,3,3
3538907,Pirajuí,2,,8,17,3,3
3539004,Pirangi,11,,7,16,10,10
3539103,Pirapora do Bom Jesus,7,,13,22,0,5
3539202,Pirapozinho,10,6,,6,9,9
3539301,Pirassununga,11,,15,23,10,10
3539400,Piratininga,2,7,,7,3,3
3539509,Pitangueiras,11,,16,24,10,10
3539608,Planalto,1,,10,19,0,2
3539707,Platina,2,7,,7,0,3
3539806,Poá,8,8,,8,7,7
3539905,Poloni,13,,9,18,0,12
3540002,Pompéia,2,,11,20,3,3
3540101,Pongaí,2,,8,17,0,3
3540200,Pontal,11,5,,1,10,10
3540259,Pontalinda,13,,9,18,0,12
3540309,Pontes Gestal,13,,7,16,0,12
3540408,Populina,13,,7,16,0,12
3540507,Porangaba,9,12,,11,8,8
3540606,Porto Feliz,14,12,,11,13,13
3540705,Porto Ferreira,11,,15,23,10,10
3540754,Potim,15,1,,3,0,14
3540804,Potirendaba,13,,8,17,12,12
3540853,Pracinha,10,,11,20,0,9
3540903,Pradópolis,11,,16,24,0,10
3541000,Praia Grande,12,3,,4,11,11
3541059,Pratânia,2,,5,14,0,3
3541109,Presidente Alves,2,,8,17,0,3
3541208,Presidente Bernardes,10,6,,6,9,9
3541307,Presidente Epitácio,10,6,,6,9,9
3541406,Presidente Prudente,10,6,,6,9,9
3541505,Presidente Venceslau,10,6,,6,9,9
3541604,Promissão,1,,10,19,2,2
3541653,Quadra,14,12,,11,0,13
3541703,Quatá,2,,11,20,9,9
3541802,Queiroz,10,,11,20,0,9
3541901,Queluz,15,1,,3,14,14
3542008,Quintana,2,,11,20,0,3
3542107,Rafard,9,11,,10,0,8
3542206,Rancharia,10,6,,6,9,9
3542305,Redenção da Serra,15,1,,3,0,14
3542404,Regente Feijó,10,6,,6,9,9
3542503,Reginópolis,2,,8,17,0,3
3542602,Registro,16,2,,2,11,11
3542701,Restinga,5,,2,12,0,6
3542800,Ribeira,14,2,,2,0,13
3542909,Ribeirão Bonito,11,,5,14,10,10
3543006,Ribeirão Branco,14,,6,15,0,13
3543105,Ribeirão Corrente,5,,2,12,0,6
3543204,Ribeirão do Sul,2,7,,7,0,3
3543238,Ribeirão dos Índios,10,6,,6,0,9
3543253,Ribeirão Grande,14,,6,15,0,13
3543303,Ribeirão Pires,6,,12,21,1,1
3543402,Ribeirão Preto,11,5,,1,10,10
3543501,Riversul,14,,6,15,0,13
3543600,Rifaina,5,,2,12,0,6
3543709,Rincão,11,,16,24,0,10
3543808,Rinópolis,10,,11,20,0,9
3543907,Rio Claro,9,11,,10,8,8
3544004,Rio das Pedras,9,11,,10,8,8
3544103,Rio Grande da Serra,6,,12,21,1,1
3544202,Riolândia,13,,7,16,0,12
3544251,Rosana,10,6,,6,9,9
3544301,Roseira,15,1,,3,14,14
3544400,Rubiácea,1,,10,19,0,2
3544509,Rubinéia,13,,9,18,0,12
3544608,Sabino,1,,8,17,0,2
3544707,Sagres,10,,11,20,0,9
3544806,Sales,13,,8,17,0,12
3544905,Sales Oliveira,5,,2,12,0,6
3545001,Salesópolis,8,8,,8,14,14
3545100,Salmourão,10,,11,20,0,9
3545159,Saltinho,9,11,,10,0,8
3545209,Salto,14,12,,11,13,13
3545308,Salto de Pirapora,14,12,,11,13,13
3545407,Salto Grande,2,7,,7,0,3
3545506,Sandovalina,10,6,,6,0,9
3545605,Santa Adélia,13,,7,16,12,12
3545704,Santa Albertina,13,,9,18,0,12
3545803,'Santa Bárbara D''Oeste',9,11,,10,8,8
3546009,Santa Branca,15,1,,3,14,14
3546108,'Santa Clara d''Oeste',13,,9,18,0,12
3546207,Santa Cruz da Conceição,9,,15,23,0,8
3546256,Santa Cruz da Esperança,11,5,,1,0,10
3546306,Santa Cruz das Palmeiras,11,,15,23,10,10
3546405,Santa Cruz do Rio Pardo,2,7,,7,3,3
3546504,Santa Ernestina,11,,8,17,0,10
3546603,Santa Fé do Sul,13,,9,18,12,12
3546702,Santa Gertrudes,9,11,,10,0,8
3546801,Santa Isabel,8,1,,3,7,7
3546900,Santa Lúcia,11,,16,24,0,10
3547007,Santa Maria da Serra,9,11,,10,0,8
3547106,Santa Mercedes,10,,11,20,0,9
3547205,Santana da Ponte Pensa,13,,9,18,0,12
3547304,Santana de Parnaíba,7,,13,22,5,5
3547403,'Santa Rita d''Oeste',13,,9,18,0,12
3547502,Santa Rita do Passa Quatro,11,,16,24,10,10
3547601,Santa Rosa de Viterbo,11,5,,1,10,10
3547650,Santa Salete,13,,9,18,0,12
3547700,Santo Anastácio,10,6,,6,9,9
3547809,Santo André,6,,12,21,1,1
3547908,Santo Antônio da Alegria,5,5,,1,0,6
3548005,Santo Antônio de Posse,3,9,,9,0,4
3548054,Santo Antônio do Aracanguá,1,,10,19,0,2
3548104,Santo Antônio do Jardim,3,,14,23,0,4
3548203,Santo Antônio do Pinhal,15,,1,3,0,14
3548302,Santo Expedito,10,6,,6,0,9
3548401,Santópolis do Aguapeí,1,,10,19,0,2
3548500,Santos,12,3,,4,11,11
3548609,São Bento do Sapucaí,15,,1,3,14,14
3548708,São Bernardo do Campo,6,,12,21,1,1
3548807,São Caetano do Sul,6,,12,21,1,1
3548906,São Carlos,11,,16,24,10,10
3549003,São Francisco,13,,9,18,0,12
3549102,São João da Boa Vista,3,,14,23,4,4
3549201,São João das Duas Pontes,13,,7,16,0,12
3549250,São João de Iracema,13,,9,18,0,12
3549300,'São João do Pau d''Alho',10,,11,20,0,9
3549409,São Joaquim da Barra,5,,2,12,6,6
3549508,São José da Bela Vista,5,,2,12,0,6
3549607,São José do Barreiro,15,1,,3,0,14
3549706,São José do Rio Pardo,11,5,,1,10,10
3549805,São José do Rio Preto,13,,7,16,12,12
3549904,São José dos Campos,15,1,,3,14,14
3549953,São Lourenço da Serra,7,,13,22,0,5
3550001,São Luís do Paraitinga,15,1,,3,14,14
3550100,São Manuel,2,,5,14,3,3
3550209,São Miguel Arcanjo,14,,6,15,13,13
3550308,São Paulo,4,,12,21,5,5
3550407,São Pedro,9,11,,10,8,8
3550506,São Pedro do Turvo,2,7,,7,0,3
3550605,São Roque,14,12,,11,13,13
3550704,São Sebastião,15,4,,5,14,14
3550803,São Sebastião da Grama,11,5,,1,10,10
3550902,São Simão,11,5,,1,10,10
3551009,São Vicente,12,3,,4,11,11
3551108,Sarapuí,14,,6,15,0,13
3551207,Sarutaiá,2,,6,15,0,3
3551306,Sebastianópolis do Sul,13,,9,18,0,12
3551405,Serra Azul,11,5,,1,0,10
3551504,Serrana,11,5,,1,10,10
3551603,Serra Negra,3,,14,23,4,4
3551702,Sertãozinho,11,5,,1,10,10
3551801,Sete Barras,16,2,,2,0,11
3551900,Severínia,13,,7,16,0,12
3552007,Silveiras,15,1,,3,0,14
3552106,Socorro,3,,14,23,4,4
3552205,Sorocaba,14,12,,11,13,13
3552304,Sud Mennucci,1,,10,19,0,2
3552403,Sumaré,3,9,,9,4,4
3552502,Suzano,8,8,,8,7,7
3552551,Suzanápolis,1,,10,19,0,2
3552601,Tabapuã,13,,7,16,12,12
3552700,Tabatinga,2,,5,14,0,3
3552809,Taboão da Serra,7,,13,22,5,5
3552908,Taciba,10,6,,6,0,9
3553005,Taguaí,2,,6,15,0,3
3553104,Taiaçu,11,,16,24,0,10
3553203,Taiúva,11,,16,24,0,10
3553302,Tambaú,11,5,,1,10,10
3553401,Tanabi,13,,7,16,0,12
3553500,Tapiraí,14,12,,11,0,13
3553609,Tapiratiba,11,5,,1,0,10
3553658,Taquaral,11,,16,24,0,10
3553708,Taquaritinga,11,,8,17,10,10
3553807,Taquarituba,2,,6,15,3,3
3553856,Taquarivaí,14,,6,15,0,13
3553906,Tarabai,10,6,,6,0,9
3553955,Tarumã,10,7,,7,0,9
3554003,Tatuí,14,12,,11,13,13
3554102,Taubaté,15,1,,3,14,14
3554201,Tejupá,2,,6,15,0,3
3554300,Teodoro Sampaio,10,6,,6,9,9
3554409,Terra Roxa,11,,4,13,0,10
3554508,Tietê,14,12,,11,13,13
3554607,Timburi,2,,6,15,0,3
3554656,Torre de Pedra,9,12,,11,0,8
3554706,Torrinha,9,,5,14,0,8
3554755,Trabiju,11,,5,14,0,10
3554805,Tremembé,15,1,,3,14,14
3554904,Três Fronteiras,13,,9,18,0,12
3554953,Tuiuti,3,10,,9,0,4
3555000,Tupã,10,,11,20,9,9
3555109,Tupi Paulista,10,,11,20,9,9
3555208,Turiúba,1,,10,19,0,2
3555307,Turmalina,13,,7,16,0,12
