id_municipio,municipio_nome,arearegional,id_gaema,id_redeprotetiva
3526308,Lagoinha,Taubaté,1,
3526407,Laranjal Paulista,Piracicaba,12,
3526506,Lavínia,Araçatuba,,10
3526605,Lavrinhas,Taubaté,1,
3526704,Leme,Piracicaba,,15
3526803,Lençóis Paulista,Bauru,,5
3526902,Limeira,Piracicaba,11,
3527009,Lindóia,Campinas,,14
3527108,Lins,Araçatuba,,8
3527207,Lorena,Taubaté,1,
3527256,Lourdes,Araçatuba,,10
3527306,Louveira,Campinas,9,
3527405,Lucélia,Presidente Prudente,,11
3527504,Lucianópolis,Bauru,7,
3527603,Luís Antônio,Ribeirão Preto,5,
3527702,Luiziânia,Araçatuba,,10
3527801,Lupércio,Bauru,,11
3527900,Lutécia,Presidente Prudente,7,
3528007,Macatuba,Bauru,,5
3528106,Macaubal,São José do Rio Preto,,10
3528205,Macedônia,São José do Rio Preto,,7
3528304,Magda,São José do Rio Preto,,9
3528403,Mairinque,Sorocaba,12,
3528502,Mairiporã,Grande São Paulo III,8,
3528601,Manduri,Bauru,,6
3528700,Marabá Paulista,Presidente Prudente,6,
3528809,Maracaí,Presidente Prudente,7,
3528858,Marapoama,São José do Rio Preto,,8
3528908,Mariápolis,Presidente Prudente,,11
3529005,Marília,Bauru,,11
3529104,Marinópolis,São José do Rio Preto,,9
3529203,Martinópolis,Presidente Prudente,6,
3529302,Matão,Ribeirão Preto,,8
3529401,Mauá,Grande São Paulo I,,12
3529500,Mendonça,São José do Rio Preto,,10
3529609,Meridiano,São José do Rio Preto,,7
3529658,Mesópolis,São José do Rio Preto,,9
3529708,Miguelópolis,Franca,,2
3529807,Mineiros do Tietê,Bauru,,5
3530003,Mira Estrela,São José do Rio Preto,,7
3529906,Miracatu,Vale do Ribeira,2,
3530102,Mirandópolis,Araçatuba,,10
3530201,Mirante do Paranapanema,Presidente Prudente,6,
3530300,Mirassol,São José do Rio Preto,,7
3530409,Mirassolândia,São José do Rio Preto,,7
3530508,Mococa,Ribeirão Preto,5,
3530706,Mogi Guaçu,Campinas,,15
3530607,Moji das Cruzes,Grande São Paulo III,8,
3530805,Moji-Mirim,Campinas,,15
3530904,Mombuca,Piracicaba,11,
3531001,Monções,São José do Rio Preto,,9
3531100,Mongaguá,Santos,3,
3531209,Monte Alegre do Sul,Campinas,10,
3531308,Monte Alto,Ribeirão Preto,,7
3531407,Monte Aprazível,São José do Rio Preto,,9
3531506,Monte Azul Paulista,São José do Rio Preto,,7
3531605,Monte Castelo,Presidente Prudente,,11
3531803,Monte Mor,Campinas,9,
3531704,Monteiro Lobato,Taubaté,1,
3531902,Morro Agudo,Franca,,4
3532009,Morungaba,Campinas,9,
3532058,Motuca,Ribeirão Preto,,16
3532108,Murutinga do Sul,Araçatuba,,10
3532157,Nantes,Presidente Prudente,6,
3532207,Narandiba,Presidente Prudente,6,
3532306,Natividade da Serra,Taubaté,1,
3532405,Nazaré Paulista,Campinas,10,
3532504,Neves Paulista,São José do Rio Preto,,9
3532603,Nhandeara,São José do Rio Preto,,9
3532702,Nipoã,São José do Rio Preto,,9
3532801,Nova Aliança,São José do Rio Preto,,8
3532827,Nova Campina,Sorocaba,,6
3532843,Nova Canaã Paulista,São José do Rio Preto,,9
3532868,Nova Castilho,São José do Rio Preto,,9
3532900,Nova Europa,Ribeirão Preto,,16
3533007,Nova Granada,São José do Rio Preto,,7
3533106,Nova Guataporanga,Presidente Prudente,,11
3533205,Nova Independência,Araçatuba,,10
3533304,Nova Luzitânia,São José do Rio Preto,,9
3533403,Nova Odessa,Campinas,9,
3533254,Novais,São José do Rio Preto,,7
3533502,Novo Horizonte,São José do Rio Preto,,8
3533601,Nuporanga,Franca,,2
3533700,Ocauçu,Bauru,,11
3533809,Óleo,Bauru,,6
3533908,Olímpia,São José do Rio Preto,,7
3534005,Onda Verde,São José do Rio Preto,,7
3534104,Oriente,Bauru,,11
3534203,Orindiúva,São José do Rio Preto,,7
3534302,Orlândia,Franca,,4
3534401,Osasco,Grande São Paulo II,,13
3534500,Oscar Bressane,Presidente Prudente,7,
3534609,Osvaldo Cruz,Presidente Prudente,,11
3534708,Ourinhos,Bauru,7,
3534807,Ouro Verde,Presidente Prudente,,11
3534757,Ouroeste,São José do Rio Preto,,7
3534906,Pacaembu,Presidente Prudente,,11
3535002,Palestina,São José do Rio Preto,,7
3535101,Palmares Paulista,São José do Rio Preto,,7
3535200,Palmeira d'Oeste,São José do Rio Preto,,9
3535309,Palmital,Bauru,7,
3535408,Panorama,Presidente Prudente,,11
3535507,Paraguaçu Paulista,Presidente Prudente,7,
3535606,Paraibuna,Taubaté,1,
3535705,Paraíso,São José do Rio Preto,,7
3535804,Paranapanema,Bauru,,6
3535903,Paranapuã,São José do Rio Preto,,9
3536000,Parapuã,Presidente Prudente,,11
3536109,Pardinho,Bauru,12,
3536208,Pariquera-Açu,Vale do Ribeira,2,
3536257,Parisi,São José do Rio Preto,,7
3536307,Patrocínio Paulista,Franca,,2
3536406,Paulicéia,Presidente Prudente,,11
3536505,Paulínia,Campinas,9,
3536570,Paulistânia,Bauru,7,
3536604,Paulo de Faria,São José do Rio Preto,,7
3536703,Pederneiras,Bauru,,5
3536802,Pedra Bela,Campinas,10,
3536901,Pedranópolis,São José do Rio Preto,,7
3537008,Pedregulho,Franca,,2
3537107,Pedreira,Campinas,9,
3537156,Pedrinhas Paulista,Presidente Prudente,7,
3537206,Pedro de Toledo,Vale do Ribeira,2,
3537305,Penápolis,Araçatuba,,10
3537404,Pereira Barreto,Araçatuba,,10
3537503,Pereiras,Piracicaba,12,
3537602,Peruíbe,Santos,3,
3537701,Piacatu,Araçatuba,,10
3537800,Piedade,Sorocaba,12,
3537909,Pilar do Sul,Sorocaba,,6
3538006,Pindamonhangaba,Taubaté,1,
3538105,Pindorama,São José do Rio Preto,,7
3538204,Pinhalzinho,Campinas,10,
3538303,Piquerobi,Presidente Prudente,6,
3538501,Piquete,Taubaté,1,
3538600,Piracaia,Campinas,10,
3538709,Piracicaba,Piracicaba,11,
3538808,Piraju,Bauru,,6
3538907,Pirajuí,Bauru,,8
3539004,Pirangi,Ribeirão Preto,,7
3539103,Pirapora do Bom Jesus,Grande São Paulo II,,13
3539202,Pirapozinho,Presidente Prudente,6,
3539301,Pirassununga,Ribeirão Preto,,15
3539400,Piratininga,Bauru,7,
3539509,Pitangueiras,Ribeirão Preto,,16
3539608,Planalto,Araçatuba,,10
3539707,Platina,Bauru,7,
3539806,Poá,Grande São Paulo III,8,
3539905,Poloni,São José do Rio Preto,,9
3540002,Pompéia,Bauru,,11
3540101,Pongaí,Bauru,,8
3540200,Pontal,Ribeirão Preto,5,
3540259,Pontalinda,São José do Rio Preto,,9
3540309,Pontes Gestal,São José do Rio Preto,,7
3540408,Populina,São José do Rio Preto,,7
3540507,Porangaba,Piracicaba,12,
3540606,Porto Feliz,Sorocaba,12,
3540705,Porto Ferreira,Ribeirão Preto,,15
3540754,Potim,Taubaté,1,
3540804,Potirendaba,São José do Rio Preto,,8
3540853,Pracinha,Presidente Prudente,,11
3540903,Pradópolis,Ribeirão Preto,,16
3541000,Praia Grande,Santos,3,
3541059,Pratânia,Bauru,,5
3541109,Presidente Alves,Bauru,,8
3541208,Presidente Bernardes,Presidente Prudente,6,
3541307,Presidente Epitácio,Presidente Prudente,6,
3541406,Presidente Prudente,Presidente Prudente,6,
3541505,Presidente Venceslau,Presidente Prudente,6,
3541604,Promissão,Araçatuba,,10
3541653,Quadra,Sorocaba,12,
3541703,Quatá,Bauru,,11
3541802,Queiroz,Presidente Prudente,,11
3541901,Queluz,Taubaté,1,
3542008,Quintana,Bauru,,11
3542107,Rafard,Piracicaba,11,
3542206,Rancharia,Presidente Prudente,6,
3542305,Redenção da Serra,Taubaté,1,
3542404,Regente Feijó,Presidente Prudente,6,
3542503,Reginópolis,Bauru,,8
3542602,Registro,Vale do Ribeira,2,
