pj,url,municipio,ar,tem_pj
Barueri,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/barueri,Barueri,Grande São Paulo,Sim
Caieiras,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/caieiras,Caieiras,Grande São Paulo,Sim
Carapicuíba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/carapicuiba,Carapicuíba,Grande São Paulo,Sim
Cotia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/cotia,Cotia,Grande São Paulo,Sim
Diadema,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/diadema,Diadema,Grande São Paulo,Sim
Embu das Artes,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/embu,Embu das Artes,Grande São Paulo,Sim
Embu-Guaçu,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/embu_guacu,Embu-Guaçu,Grande São Paulo,Sim
Ferraz de Vasconcelos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/ferraz_de_vasconcelos,Ferraz de Vasconcelos,Grande São Paulo,Sim
Francisco Morato,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/francisco_morato,Francisco Morato,Grande São Paulo,Sim
Franco da Rocha,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/franco_da_rocha,Franco da Rocha,Grande São Paulo,Sim
Guararema,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/guararema,Guararema,Grande São Paulo,Sim
Guarulhos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/guarulhos,Guarulhos,Grande São Paulo,Sim
Itapecerica da Serra,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/itapecerica,Itapecerica da Serra,Grande São Paulo,Sim
Itapevi,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/itapevi,Itapevi,Grande São Paulo,Sim
Itaquaquecetuba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/itaquaquecetuba,Itaquaquecetuba,Grande São Paulo,Sim
Jandira,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/jandira,Jandira,Grande São Paulo,Sim
Mairiporã,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/mairipora,Mairiporã,Grande São Paulo,Sim
Mauá,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/maua,Mauá,Grande São Paulo,Sim
Mogi das Cruzes,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/mogi_das_cruzes,Mogi das Cruzes,Grande São Paulo,Sim
Osasco,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/osasco,Osasco,Grande São Paulo,Sim
Poá,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/poa,Poá,Grande São Paulo,Sim
Ribeirão Pires,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/ribeirao_pires,Ribeirão Pires,Grande São Paulo,Sim
Rio Grande da Serra,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/rio_grande_da_serra,Rio Grande da Serra,Grande São Paulo,Sim
Santa Isabel,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/santa_isabel,Santa Isabel,Grande São Paulo,Sim
Santana do Parnaíba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/santana_de_parnaiba,Santana do Parnaíba,Grande São Paulo,Sim
Santo André,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/santo_andre,Santo André,Grande São Paulo,Sim
Suzano,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/suzano,Suzano,Grande São Paulo,Sim
São Bernardo do Campo,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/sbcampo,São Bernardo do Campo,Grande São Paulo,Sim
São Caetano do Sul,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/sao_caetano_do_sul,São Caetano do Sul,Grande São Paulo,Sim
Taboão da Serra,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/taboao_da_serra,Taboão da Serra,Grande São Paulo,Sim
Vargem Grande Paulista,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/gsp/vargem_grande_paulista,Vargem Grande Paulista,Grande São Paulo,Sim
Cananeia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_vale_do_ribeira/vlribeira_cananeia,Cananeia,Vale do Ribeira,Sim
Eldorado,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_vale_do_ribeira/vlribeira_eldorado,Eldorado,Vale do Ribeira,Sim
Iguape,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_vale_do_ribeira/vlribeira_iguape,Iguape,Vale do Ribeira,Sim
Itariri,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_vale_do_ribeira/vlribeira_itariri,Itariri,Vale do Ribeira,Sim
Jacupiranga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_vale_do_ribeira/vlribeira_jacupiranga,Jacupiranga,Vale do Ribeira,Sim
Juquiá,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_vale_do_ribeira/vlribeira_juquia,Juquiá,Vale do Ribeira,Sim
Miracatu,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_vale_do_ribeira/vlribeira_miracatu,Miracatu,Vale do Ribeira,Sim
Pariquera-Açu,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_vale_do_ribeira/vlribeira_pariquera,Pariquera-Açu,Vale do Ribeira,Sim
Registro,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_vale_do_ribeira/vlribeira_registro,Registro,Vale do Ribeira,Sim
Bertioga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_santos/stos_bertioga,Bertioga,Santos,Sim
Cubatão,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_santos/stos_cubatao,Cubatão,Santos,Sim
Guarujá,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_santos/stos_guaruja,Guarujá,Santos,Sim
Itanhaém,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_santos/stos_itanhaem,Itanhaém,Santos,Sim
Mongaguá,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_santos/stos_mongagua,Mongaguá,Santos,Sim
Peruíbe,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_santos/stos_peruibe,Peruíbe,Santos,Sim
Praia Grande,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_santos/stos_praiagrande,Praia Grande,Santos,Sim
Santos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_santos/stos_santos,Santos,Santos,Sim
São Vicente,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_santos/stos_sao_vicente,São Vicente,Santos,Sim
