municipio,pj,url,ar,tem_pj
Boracéia,Pederneiras,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_pederneiras,Bauru,Não
Borebi,Lençóis Paulista,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_lencois_paulista,Bauru,Não
Cabrália Paulista,Duartina,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_duartina,Bauru,Não
Campos Novos Paulista,Palmital,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_palmital,Bauru,Não
Canitar,Chavantes,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_chavantes,Bauru,Não
Espírito Santo do Turvo,Santa Cruz do Rio Pardo,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_rio_pardo,Bauru,Não
Fernão,Gália,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_galia,Bauru,Não
Iaras,Cerqueira César,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_cerqueira_cesar,Bauru,Não
Ibirarema,Palmital,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_palmital,Bauru,Não
Igaraçu do Tietê,Barra Bonita,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_barra_bonita,Bauru,Não
Itaju,Bariri,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_bariri,Bauru,Não
Itapuí,Jaú,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_jau,Bauru,Não
Lucianópolis,Duartina,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_duartina,Bauru,Não
Lupércio,Garça,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_garca,Bauru,Não
Manduri,Piraju,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_piraju,Bauru,Não
Mineiros do Tietê,Jaú,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_jau,Bauru,Não
Ocauçu,Marília,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_marilia,Bauru,Não
Oriente,Pompéia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_pompeia,Bauru,Não
Pardinho,Botucatu,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_botucatu,Bauru,Não
Paulistânia,Agudos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_agudos,Bauru,Não
Platina,Palmital,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_palmital,Bauru,Não
Pongaí,Pirajuí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_pirajui,Bauru,Não
Pratânia,São Manuel,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_sao_manuel,Bauru,Não
Presidente Alves,Pirajuí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_pirajui,Bauru,Não
Quintana,Pompéia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_pompeia,Bauru,Não
Reginópolis,Pirajuí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_pirajui,Bauru,Não
Ribeirão do Sul,Ourinhos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_ourinhos,Bauru,Não
Salto Grande,Ourinhos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_ourinhos,Bauru,Não
Sarutaiá,Piraju,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_piraju,Bauru,Não
São Pedro do Turvo,Santa Cruz do Rio Pardo,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_rio_pardo,Bauru,Não
Tabatinga,Ibitinga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_ibitinga,Bauru,Não
Taguaí,Fartura,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_fartura,Bauru,Não
Tejupá,Piraju,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_piraju,Bauru,Não
Timburi,Piraju,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_piraju,Bauru,Não
Ubirajara,Duartina,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_duartina,Bauru,Não
